,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
10,Senior Bioinfo Scientist,$66K - $138K (Glassdoor est.),"Conduct bioinformatic analysis on research projects as a bioinformatics team member. Should have experience developing new
analytic approaches, software and pipelines to explore and apply meaningful approaches to complex human disease, such as cancer, diabetes and heart disease, and its impact on public health. Experience working with large scale biomedical data and hands on experience developing software or information systems to manage and analyze biomedical data. Working with Next and Third generation sequence data, proteomic data and microarray data from a tremendous breadth of clinical areas to gain new insights into human disease.

About Inova
Inova is Northern Virginia’s leading nonprofit healthcare provider, recognized in 2019 and 2020 by U.S. News & World Report, which named Inova Fairfax Hospital the #1 hospital in the Washington, DC region. Each of Inova’s five hospitals holds a 5-star rating from the Centers for Medicare & Medicaid Services (CMS), distinguishing Inova as the highest-rated large health system in the U.S., and the only system to have all hospitals receive five stars. All five Inova hospitals were awarded ‘A’ grades for the spring 2020 Leapfrog Hospital Safety Grades, recognizing Inova’s achievements in protecting patients from harm and providing safer healthcare. Inova Fairfax Medical Campus was named to the Fortune/IBM Watson Health 100 Top Hospitals list, ranking in the top 10 nationwide among Major Teaching Hospitals. Our mission is to provide world-class healthcare – every time, every touch – to each person in every community we have the privilege to serve. Inova’s 18,000 team members serve more than 2 million individuals annually through an integrated network of hospitals, primary and specialty care practices, emergency and urgent care centers, outpatient services and destination institutes. Inova is home to Northern Virginia’s only Level 1 Trauma Center and Level 4 Neonatal Intensive Care Unit. Its hospitals have a total of 1,936 licensed beds. More information and statistics about Inova can be found at www.inova.org.

IND2",3.8,"Inova Health System
3.8","Falls Church, VA",10000+ Employees,1956,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$10 to $25 million (USD)
11,(FOOD SCIENTIST) Sr. Product Development Technologist,-1,"Horizon Food Groupis a strategic bakery and sweet snack company selling to grocery, convenience store, mass merchant and food service customers throughout the U.S. A leader in the single serve segment products.
Title: Sr. Product Development Technologist
Reports to: Director of Marketing Services
Direct Reports: None
SalaryRange: Based on Candidate Skills, Experience and Education
SCOPE OF RESPONSIBILITIES",BAKERY,NEMO'S BAKERY,California,-1,-1,-1,-1,-1,-1
12,R&D Scientist,-1,"LGC, Biosearch Technologies is seeking a detail-oriented and analytical team player to fulfill the role of Scientist in our Research and Development group in Middleton, WI. The individual will provide technical assistance to the R&D group in the areas of nucleic acid amplification and next generation sequencing. Experience in design and development of quantitative PCR and RT-PCR assays is a plus. The hired individual must have the ability to multi-task while maintaining precise documentation of experiments performed.

Key responsibilities and accountabilities:
Amplification (qPCR, RT-qPCR, isothermal amplification, digital PCR)
Standard molecular biology techniques (DNA extraction/purification, PCR, cloning)",3.5,"LGC Limited
3.5","Middleton, WI",,1842,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable
13,Scientist II,$132K - $144K (Glassdoor est.),"Job Title: Scientist II
Department: Product Development
Purpose of the job: To develop a quantitative characterization of the Decision Sciences muon tomography systems, including metrics to characterize hardware, algorithms, and operational performance using tomographic images.
Citizenship Requirement: U.S. Citizenship required (defined by Federal contract)
Preferred Education: Advanced degree in a quantitative field such as Computer Science, Computer Engineering, Mathematics, Physics a plus or possess relevant experience in lieu of education",2.5,"Decision Sciences
2.5","Poway, CA",1 to 50 Employees,Company - Private,Advertising & Marketing,Business Services,Less than $1 million (USD),-1
14,Product Development Scientist,$61K - $84K (Glassdoor est.),"Product Development Scientist
Zentis is Europe's number one fruit processing company and one of the leading brand manufacturers of jams, sweets and custard-based dessert. The Company's North American operations are located in Philadelphia, Pennsylvania and Plymouth, Indiana, where we produce fruit and dairy preparations for a variety of customers including yogurt, ice cream and bakery manufacturers.
The Product Development Scientist is responsible for developing new products and technologies with strategically importance to Zentis, ultimately leading to the growth and stability of the business. This is accomplished by fostering close interactions with Sales and Zentis customers to effectively manage projects and develop new business.
The Scientist is also responsible for strategically influencing the business by monitoring the external market for consumer trends, new ingredients and processing technologies. As an active participant in the global Zentis R&D community, the Scientist stays current on internal Zentis development projects and innovation so that U.S. customers can benefit from Zentis’s global presence. Areas of focus include beverages, ice cream, bakery fillings and glazes and dairy or dairy-alternative product applications.",America,Zentis North America,"Plymouth, IN",-1,-1,-1,-1,-1,-1
15,Data & Analytics Consultant,$77K - $118K (Glassdoor est.),"WHO WE LOOK FOR

An SEI Consultant is a master communicator and active listener who understands how to navigate an audience. Self-aware, almost to a fault, SEI consultants keenly understand how to adjust their approach based on the situation. Following a logical, fact-based approach, our consultants possess the superior ability to see correlations others may not, ask the right questions and drive solutions.

As super-connectors, our consultants connect not only people, but data, trends and experiences. Mature, humble, and genuine, SEI Consultants frequently go above and beyond for both their clients and their colleagues. SEI Consultants are ethical and trustworthy individuals who do what they say. SEI Consultants have an insatiable curiosity and love to learn. These individuals are commonly tech savvy and early adopters. Their passion for learning is infectious and excites others.

As every project is different, an SEI Consultant must be with unexpected situations. An SEI Consultant must be at ease with ambiguity because although a client knows that a problem exists – they need SEI to figure it out and drive a solution. SEI Consultants define ambition differently. SEI Consultants are who like to hang out with colleagues outside of work. Whether it be cooking, traveling, hiking, or volunteering, SEI Consultants enjoy working with genuine, thoughtful folks who want to steer clear of the traditional grind and share the joy of day-to-day life and activities with colleagues, friends and family.



Our consultants work with clients at all levels of the organization, from the C-suite to the shop floor, helping them to deliver on their most strategic initiatives. We’re known for making realistic, data-driven decisions that deliver value in tangible ways to our clients. Our clients ask for us on projects that require a superior combination of technical and business capabilities, people and management skills, and a collaborative mindset. We excel in understanding complex programs and strategic initiatives and breaking them into actionable pieces.

We are actively looking for professionals in the following areas:
The ideal candidate will:
Ideal candidates may call themselves Data Engineers, Data Scientists and Analysts and Data Governance professionals. Experience may include but is not limited to the following:",4.6,"SEI
4.6","Atlanta, GA",201 to 500 Employees,1992,Company - Private,Consulting,Business Services,$50 to $100 million (USD)
16,Cloud Data Engineer,-1,"Who We Are!
At Maven Wave, we are relentless in hiring the industry's top talent. Each employee is hand-picked not only for their skills, but for their personality and broad expertise. We are looking for this rare combination of talent that sets us apart in the industry.
Maven Wave helps leading companies make the shift to digital and shorten the fuse to innovation. We combine the expertise of top-tier consulting with the agility of a cutting-edge technology firm. This multidisciplinary blend of skills allows us to create unique digital advantages for our clients. Maven Wave's digital solutions are agile, mobile, rooted in analytics, and built in the cloud.

Maven Wave, Google, and YOU: Help us build data driven cloud solutions.",4.7,"Maven Wave
4.7",Illinois,201 to 500 Employees,2008,Company - Private,Consulting,Business Services,$50 to $100 million (USD)
17,Research Scientist I - Essentia,-1,"New product development of broths, stocks, flavors, animal fats and functional collagen products; lead and conduct pilot plant and production plant trials; support operations with technical expertise to improve quality / reduce cost of existing products; collaborate and provide technical support to internal cross functional groups and external customers; propose and identify new technological opportunities.
JOB QUALIFICATIONS:
Education and Experience:
Master of Science plus 2 years of experience",2.8,"The Lauridsen Group
2.8","Ankeny, IA",501 to 1000 Employees,1969,Company - Public,Miscellaneous Manufacturing,Manufacturing,Unknown / Non-Applicable
18,Staff Data Scientist,$101K - $161K (Glassdoor est.),"Alteryx is searching for a Staff Data Scientist in our Boston office.
We’re looking for problem solvers, innovators, and dreamers who are searching for anything but business as usual. Like us, you’re a high performer who’s an expert at your craft, constantly challenging the status quo. You value inclusivity and want to join a culture that empowers you to show up as your authentic self. You know that success hinges on commitment, that our differences make us stronger, and that the finish line is always sweeter when the whole team crosses together.
Alteryx Innovation Labs
The Innovation Labs office, Alteryx's first office presence in Boston, was started earlier this year by the acquisition of MIT-spinout Feature Labs . This rapidly growing team combines the excitement of being part of a fast-paced, innovative startup with the resources, market penetration, and wisdom of a data analytics market leader. Our goal is to turbo-charge machine learning and data science efforts on the Alteryx platform, and to enable anyone to solve dynamic problems. We are working on high-impact, high-visibility projects, and we’re looking for collaborative and knowledge-hungry teammates who want to join us as we work to democratize machine learning.",3.6,"Alteryx, Inc.
3.6","Boston, MA",1001 to 5000 Employees,1997,Company - Public,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD)
19,Data Analyst,$40K - $73K (Glassdoor est.),"Data Analyst

Role Responsibilities

Responsible for building brighter financial futures by providing data to aid in business decision-making and improved efficiency in the following ways:
designs reports, spreadsheets, visualizations, dashboards and other data output, converting complex data and findings into understandable tables, charts, and written reports, as necessary;",3.8,"Texas Trust Credit Union
3.8","Arlington, TX",201 to 500 Employees,1936,Company - Private,Banks & Credit Unions,Finance,$2 to $5 billion (USD)
20,Data Scientist - ETL Pipelining,$117K - $138K (Glassdoor est.),"At Bloomberg, our products are fueled by powerful information. We combine data and context to paint the whole picture for our clients, around the clock - from around the world. In Global Data, we""re responsible for delivering this data, news and analytics through innovative technology - quickly and accurately.

Our Global Data team drives the algorithms and analytics at the core of what we do. Working across industries and asset classes, we draw on expertise from all backgrounds to identify the most impactful insights for our clients. We build on our knowledge of data trends to determine how customer needs might change over time, and code the foundation to support those changes.

Whether it""s providing datasets to track market-moving economic events, or quantifying extreme weather effects on companies, we write the programs, analyze patterns, and make recommendations to grow business success across the firm. The entire organization utilizes Global Data to forecast, set, and achieve their own goals. Our work leads directly to client satisfaction, which contributes to Bloomberg""s profitability and ability to keep innovating.

We""re looking to hire qualified professionals into either our Economics Data Team or our Geospatial Data Team. Both of these teams sit under our Global Data umbrella, and work to synthesize meaningful solutions for our clients. These teams are looking for professionally experienced individuals to join their ranks and add on to the great wealth of knowledge we have in-house.







Apply if you think we're a good match. We'll get in touch to let you know what the next steps are.

Bloomberg is committed to diversity. It drives our innovation. At Bloomberg, you'll have the opportunity to go above and beyond and to take risks. You'll be a part of an organization that is entering new markets, launching new ventures, and pushing boundaries. Our ever-expanding array of technology, data, news, and media services champions innovation and empowers clients - and offers nearly limitless opportunities for career growth.

We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status. We bring out the best in each other.",4.1,"Bloomberg
4.1","Princeton, NJ",10000+ Employees,1981,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable
21,Sr. Data Scientist,$83K - $138K (Glassdoor est.),"Sr. Data Scientist -INF0001YE
Description

Analytics Sr. Consultant – Sr. Data Scientist – R&D
Description
Headquartered in the heart of downtown Chicago, CNA is a leading commercial and specialty insurer, offering a diverse range of insurance products including Workers Compensation, Property, General Liability, Professional Liability, Cyber Insurance, Surety, and Warranty. We are one of the world leaders in underwriting non-medical professionals, from lawyers and accountants to architects and management consultants.
What CNA offers",3.6,"CNA Insurance
3.6","Chicago, IL",1001 to 5000 Employees,1897,Company - Public,Insurance Carriers,Insurance,$10+ billion (USD)
22,R&D Scientist I,-1,"23 Mill Brook Road
Saco, Maine 04072
Fax: 207-885-1079 www.mmqci.com
_MAINE MOLECULAR QUALITY CONTROLS, INC. is HIRING!! _
_ _
R & D Scientist I – MOLECULAR DIAGNOSTICS
Maine Molecular Quality Controls, Inc. (MMQCI) designs, develops, manufactures, and markets unique quality control products used by hospital laboratories to monitor the accuracy of tests for inherited disease, pharmacogenetics, oncology, and infectious diseases. MMQCI also provides custom products to IVD manufacturers for test development, internal QC and kit controls. MMQCI has developed technologies to stabilize DNA and RNA for use as quality controls and continues to pursue the discovery of novel techniques useful for the development of new quality control products. We are a small, growing company that offers a relaxed but challenging work environment with opportunities to gain experience using the latest molecular biology tools.",1.0,"Maine Molecular Quality Controls, Inc
1.0","Saco, ME",1 to 50 Employees,Company - Private,$1 to $5 million (USD),-1,-1,-1
23,Data Engineer,$65K - $121K (Glassdoor est.),"McCarthy Building Companies, Inc. is one of America's premier commercial construction companies. Our reputation for tackling the toughest building challenges starts with our focus on building high-performing teams that collaborate with clients and industry partners starting in the earliest stages of design, throughout construction and beyond project completion. With offices and employees nationwide, we specialize in a wide range of project types including healthcare, education, renewable energy, marine, water/wastewater, commercial office and retail, hospitality/entertainment and airports. Originally founded as a family business in 1864, today we are proud to be 100 percent employee owned.

McCarthy is seeking a full-time Azure Data Engineer located in St. Louis, MO who, as part of the Business Intelligence team, will be responsible to deliver end-to-end data pipelines and repositories leveraging both traditional tools and practices as well as modern consumption and delivery models to support a growing Business Intelligence practice.",4.5,"McCarthy Building Co
4.5","Saint Louis, MO",1001 to 5000 Employees,1864,Company - Private,Construction,"Construction, Repair & Maintenance",$2 to $5 billion (USD)
24,Analytics Manager,$52K - $95K (Glassdoor est.),"Title: Manager, Analytics
Department: Analytics
Wage Category: Salaried, Exempt
Reports to: Director, Analytics
Salary range: Commensurate with experience

Job Statement
The Manager of Analytics is responsible for overseeing the design and delivery of reports and insights that analyze business functions, key operations, and performance metrics. This position will lead a team of analysts using data modeling and analysis techniques to discover insights that will guide strategic decisions and uncover optimization opportunities.",2.8,"MediRevv
2.8","Coralville, IA",501 to 1000 Employees,2007,Company - Private,Health Care Services & Hospitals,Health Care,$5 to $10 million (USD)
25,Senior Scientist,-1,"Job Description Role and Responsibilities
· Ability to develop, optimize, qualify, and validate new assays
· Method development, analysis, maintenance and troubleshooting of qPCR instrumentation and equipment
· Conduct quantitative and qualitative qPCR analysis to support in-vitro and in-vivo gene and cell therapy studies
· Conduct sample analysis of various biological matrices in support of preclinical studies
· Drive efficiencies through automation/new technologies in sample preparation, analysis and reporting",Services,Northern Biomolecular Services,"Kalamazoo, MI",-1,-1,-1,-1,-1,-1
26,Analytical Research & Development Scientist,-1,"Summary of role
The Analytical R&D Scientist I is accountable for driving results in a fast-paced environment by independently executing development of analytical methods and improvement of existing ones to support API development program for Sterling facilities. This requires skills and knowledge in handling, analyzing and characterizing chemicals, pharmaceuticals, and related organic molecules. It also requires hands on experience in analytical techniques such as HPLC, GC, etc. The Scientist independently drafts analytical development reports and drafts and executes validation protocols for analytical methods. The ideal candidate will independently perform and review data analysis and draft reports for analytical method development and validation. The ideal candidate has the proven ability to apply scientific principles, theories and concepts to research problems and develop solutions for analytical problems related to drug substances in compliance with appropriate Standard Operating Procedures (SOPs) and regulatory guidelines.",Solutions,Sterling Pharma Solutions,"Germantown, WI",-1,-1,-1,-1,-1,-1
27,"CMC Analytical Scientist, Biologics CMC Analytical Development",-1,"CMC ANALYTICAL SCIENTIST, BIOLOGICS CMC ANALYTICAL DEVELOPMENT
Position Summary:
The CMC Analytical Scientist (Chemist/Biochemist) will support the GBT biologics Drug Substance and Drug Product GMP analytical testing. The candidate will be responsible for analytical testing support and documentation as required by GBT SOPs and regulatory guidance. The candidate will also be responsible to review and verify process and CMC analytical data from CMOs for critical GMP/regulatory documents. The candidate will also provide support to organize and archive the completed internal and external analytical CMC documents. The candidate may perform other duties to support GBT biologics CMC development and manufacturing as appropriate.
Essential Duties and Responsibilities:",(GBT),"Global Blood Therapeutics, Inc. (GBT)","South San Francisco, CA",-1,-1,-1,-1,-1,-1
28,R&D Scientist II,-1,"23 Mill Brook Road
Saco, Maine 04072
Fax: 207-885-1079 www.mmqci.com
_MAINE MOLECULAR QUALITY CONTROLS, INC. is HIRING!! _
_ _
R & D Scientist II – MOLECULAR DIAGNOSTICS
Maine Molecular Quality Controls, Inc. (MMQCI) designs, develops, manufactures, and markets unique quality control products used by hospital laboratories to monitor the accuracy of tests for inherited disease, pharmacogenetics, oncology, and infectious diseases. MMQCI also provides custom products to IVD manufacturers for test development, internal QC and kit controls. MMQCI has developed technologies to stabilize DNA and RNA for use as quality controls and continues to pursue the discovery of novel techniques useful for the development of new quality control products. We are a small, growing company that offers a relaxed but challenging work environment with opportunities to gain experience using the latest molecular biology tools.",1.0,"Maine Molecular Quality Controls, Inc
1.0","Saco, ME",1 to 50 Employees,Company - Private,$1 to $5 million (USD),-1,-1,-1
29,Data Scientist,$83K - $135K (Glassdoor est.),"Data Scientist

Language: English





Buckman is a privately held, global specialty chemical company with headquarters in Memphis, TN, USA, committed to safeguarding the environment, maintaining safety in the workplace, and promoting sustainable development. Buckman delivers exceptional service and innovative solutions to our customers globally in the pulp and paper, leather, and water treatment sectors to help boost productivity, reduce risk, improve product quality, and provide a measurable return on investment. Buckman is in the middle of a digital transformation of its businesses and focused on building the capabilities and tools in support of this.


Buckman is seeking an experienced Data Scientist to lead the development of a Data Science program at our Memphis facility. You will work closely with Buckman stakeholders to derive deep industry knowledge across paper, water, leather, and performance chemical industries. You will help develop a data strategy for the company including collection of the right data, creation of the data science project portfolio, partnering with external providers, and augmenting capabilities with additional internal hires. A large part of the job is communicating and developing relationship with key stakeholders and subject matter experts to tee up proofs of concept projects to demonstrate how data science can be used to solve old problems in unique and novel ways. You will not have a large internal team to rely on, at least initially, so individual expertise, breadth of data science knowledge, and ability to partner with external companies will be essential for success. In addition to the pure data science problems, you will be working closely with a multi-disciplinary team consisting of sensor scientists, software engineers, network engineers, mechanical/electrical engineers, and chemical engineers in the development, and deployment of IoT solutions. If you like working for an entrepreneurial company with a Sustainability mission and digital ambitions at the core of its strategy, Buckman is the place for you.",3.8,"Buckman
3.8","Memphis, TN",1001 to 5000 Employees,1945,Company - Private,Chemical Manufacturing,Manufacturing,$500 million to $1 billion (USD)
30,Operational Data Scientist,$100K - $160K (Glassdoor est.),"Are you a creative thinker passionate about solving difficult engineering problems related to our greatest national security challenges?
Are you interested in contributing to groundbreaking innovations for missile defense applications?
Do you find analyzing and understanding complex dynamic systems exciting and challenging?
If so, we're looking for someone like you to join our team at APL!
We are seeking a creative and motivated person to help us solve complex problems for the Navy and the Missile Defense Agency (MDA). You will be a member of a high-impact analysis team, joining engineers, analysts, and operational experts. With our team, you will contribute to the advancement of analytical capabilities to provide answers and guidance to our sponsors.
We are passionate about applying state-of-the-art know-how to challenging problems and are committed to delivering quality products to our sponsors. Our team strives to foster a creative, friendly, collegial environment that values inclusion, camaraderie, and hard work while maintaining a sense of humor. You will join a diverse group of 40+ hardworking engineers and scientists that organizes many opportunities to socialize over coffee breaks, happy hours, potlucks, and holiday gatherings.
As an operational data scientist...
You meet our minimum qualifications for this job if you...
You'll go above and beyond our minimum requirements if you...
Why work at APL?
The Johns Hopkins University Applied Physics Laboratory (APL) brings world-class expertise to our nation's most critical defense, security, space and science challenges. While we are dedicated to solving complex challenges and pioneering new technologies, what makes us truly outstanding is our culture. We offer a vibrant, welcoming atmosphere where you can bring your authentic self to work, continue to grow, and build strong connections with inspiring teammates.
At APL, we celebrate our differences and encourage creativity and bold, new ideas. Our employees enjoy generous benefits, including a robust education assistance program, unparalleled retirement contributions, and a healthy work/life balance. APL's campus is located in the Baltimore-Washington metro area. Learn more about our career opportunities at www.jhuapl.edu/careers.",4.7,"Johns Hopkins Applied Physics Laboratory (APL)
4.7","Laurel, MD",5001 to 10000 Employees,1942,Nonprofit Organization,Aerospace & Defense,Aerospace & Defense,$1 to $2 billion (USD)
