,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue,hourly,employer_provided,min_salary,max_salary,avg_salary,company_txt,job_state,age,python_yn,R_yn,spark,aws,excel,job_simp,seniority,desc_len
10,Sr. Data Scientist,$83K - $138K (Glassdoor est.),"Sr. Data Scientist -INF0001YE
Description

Analytics Sr. Consultant – Sr. Data Scientist – R&D
Description
Headquartered in the heart of downtown Chicago, CNA is a leading commercial and specialty insurer, offering a diverse range of insurance products including Workers Compensation, Property, General Liability, Professional Liability, Cyber Insurance, Surety, and Warranty. We are one of the world leaders in underwriting non-medical professionals, from lawyers and accountants to architects and management consultants.
What CNA offers",3.6,"CNA Insurance
3.6","Chicago, IL",1001 to 5000 Employees,1897,Company - Public,Insurance Carriers,Insurance,$10+ billion (USD),0,0,83,138,110.5,CNA Insurance,IL,123,0,0,0,0,0,data scientist,senior,538
11,Data Engineer,$65K - $121K (Glassdoor est.),"McCarthy Building Companies, Inc. is one of America's premier commercial construction companies. Our reputation for tackling the toughest building challenges starts with our focus on building high-performing teams that collaborate with clients and industry partners starting in the earliest stages of design, throughout construction and beyond project completion. With offices and employees nationwide, we specialize in a wide range of project types including healthcare, education, renewable energy, marine, water/wastewater, commercial office and retail, hospitality/entertainment and airports. Originally founded as a family business in 1864, today we are proud to be 100 percent employee owned.

McCarthy is seeking a full-time Azure Data Engineer located in St. Louis, MO who, as part of the Business Intelligence team, will be responsible to deliver end-to-end data pipelines and repositories leveraging both traditional tools and practices as well as modern consumption and delivery models to support a growing Business Intelligence practice.",4.5,"McCarthy Building Co
4.5","Saint Louis, MO",1001 to 5000 Employees,1864,Company - Private,Construction,"Construction, Repair & Maintenance",$2 to $5 billion (USD),0,0,65,121,93.0,McCarthy Building Co,MO,156,0,0,0,0,0,data engineer,na,1049
12,Analytics Manager,$52K - $95K (Glassdoor est.),"Title: Manager, Analytics
Department: Analytics
Wage Category: Salaried, Exempt
Reports to: Director, Analytics
Salary range: Commensurate with experience

Job Statement
The Manager of Analytics is responsible for overseeing the design and delivery of reports and insights that analyze business functions, key operations, and performance metrics. This position will lead a team of analysts using data modeling and analysis techniques to discover insights that will guide strategic decisions and uncover optimization opportunities.",2.8,"MediRevv
2.8","Coralville, IA",501 to 1000 Employees,2007,Company - Private,Health Care Services & Hospitals,Health Care,$5 to $10 million (USD),0,0,52,95,73.5,MediRevv,IA,13,0,0,0,0,0,manager,na,530
13,Data Scientist,$83K - $135K (Glassdoor est.),"Data Scientist

Language: English





Buckman is a privately held, global specialty chemical company with headquarters in Memphis, TN, USA, committed to safeguarding the environment, maintaining safety in the workplace, and promoting sustainable development. Buckman delivers exceptional service and innovative solutions to our customers globally in the pulp and paper, leather, and water treatment sectors to help boost productivity, reduce risk, improve product quality, and provide a measurable return on investment. Buckman is in the middle of a digital transformation of its businesses and focused on building the capabilities and tools in support of this.


Buckman is seeking an experienced Data Scientist to lead the development of a Data Science program at our Memphis facility. You will work closely with Buckman stakeholders to derive deep industry knowledge across paper, water, leather, and performance chemical industries. You will help develop a data strategy for the company including collection of the right data, creation of the data science project portfolio, partnering with external providers, and augmenting capabilities with additional internal hires. A large part of the job is communicating and developing relationship with key stakeholders and subject matter experts to tee up proofs of concept projects to demonstrate how data science can be used to solve old problems in unique and novel ways. You will not have a large internal team to rely on, at least initially, so individual expertise, breadth of data science knowledge, and ability to partner with external companies will be essential for success. In addition to the pure data science problems, you will be working closely with a multi-disciplinary team consisting of sensor scientists, software engineers, network engineers, mechanical/electrical engineers, and chemical engineers in the development, and deployment of IoT solutions. If you like working for an entrepreneurial company with a Sustainability mission and digital ambitions at the core of its strategy, Buckman is the place for you.",3.8,"Buckman
3.8","Memphis, TN",1001 to 5000 Employees,1945,Company - Private,Chemical Manufacturing,Manufacturing,$500 million to $1 billion (USD),0,0,83,135,109.0,Buckman,TN,75,0,0,0,0,0,data scientist,na,2081
14,Operational Data Scientist,$100K - $160K (Glassdoor est.),"Are you a creative thinker passionate about solving difficult engineering problems related to our greatest national security challenges?
Are you interested in contributing to groundbreaking innovations for missile defense applications?
Do you find analyzing and understanding complex dynamic systems exciting and challenging?
If so, we're looking for someone like you to join our team at APL!
We are seeking a creative and motivated person to help us solve complex problems for the Navy and the Missile Defense Agency (MDA). You will be a member of a high-impact analysis team, joining engineers, analysts, and operational experts. With our team, you will contribute to the advancement of analytical capabilities to provide answers and guidance to our sponsors.
We are passionate about applying state-of-the-art know-how to challenging problems and are committed to delivering quality products to our sponsors. Our team strives to foster a creative, friendly, collegial environment that values inclusion, camaraderie, and hard work while maintaining a sense of humor. You will join a diverse group of 40+ hardworking engineers and scientists that organizes many opportunities to socialize over coffee breaks, happy hours, potlucks, and holiday gatherings.
As an operational data scientist...
You meet our minimum qualifications for this job if you...
You'll go above and beyond our minimum requirements if you...
Why work at APL?
The Johns Hopkins University Applied Physics Laboratory (APL) brings world-class expertise to our nation's most critical defense, security, space and science challenges. While we are dedicated to solving complex challenges and pioneering new technologies, what makes us truly outstanding is our culture. We offer a vibrant, welcoming atmosphere where you can bring your authentic self to work, continue to grow, and build strong connections with inspiring teammates.
At APL, we celebrate our differences and encourage creativity and bold, new ideas. Our employees enjoy generous benefits, including a robust education assistance program, unparalleled retirement contributions, and a healthy work/life balance. APL's campus is located in the Baltimore-Washington metro area. Learn more about our career opportunities at www.jhuapl.edu/careers.",4.7,"Johns Hopkins Applied Physics Laboratory (APL)
4.7","Laurel, MD",5001 to 10000 Employees,1942,Nonprofit Organization,Aerospace & Defense,Aerospace & Defense,$1 to $2 billion (USD),0,0,100,160,130.0,Johns Hopkins Applied Physics Laboratory (APL),MD,78,0,0,0,0,0,data scientist,na,2272
15,Health Care Data Scientist,$94K - $155K (Glassdoor est.),"When you’re the best, we’re the best. We instill an environment where employees feel engaged, satisfied and able to contribute their unique skills and talents. We provide extensive opportunities for personal and professional development, building both employee competence and organizational capability to fuel exceptional performance now and in the future.
Summary:

Responsibilities:
Provide analysis to identify critical issues/questions around member performance.",4.2,"Vizient, Inc.
4.2","Chicago, IL",1001 to 5000 Employees,1977,Company - Private,Health Care Services & Hospitals,Health Care,$500 million to $1 billion (USD),0,0,94,155,124.5,"Vizient, Inc.",IL,43,0,0,0,0,0,data scientist,na,466
16,Data Analyst,$33K - $59K (Glassdoor est.),"divvyDOSE is a new kind of home-delivery pharmacy in a hyper-growth phase focused on adherence packaging.

Our company is professional but fun, dedicated yet quirky. We are fast-paced, highly-motivated doctors, pharmacists, pharmacy technicians, and support staff who focus on health and wellness (and if we’re being honest, sometimes pizza) and most of us have slight obsessions with our pets. We want to make a difference in the lives of our customers by treating them like friends and family. We offer a work-hard, play-hard environment with competitive pay and a comprehensive benefit plan.

Vision/Mission

Our vision is to fix and reimagine healthcare for everyone. Our mission is to engage customers by fixing all the problems around getting and taking their medications. We've taken the first step by simplifying adherence.

We’re now part of Optum and the UnitedHealth Group family of businesses, backed by the resources of a global health organization working to help people live healthier lives and to help make the health system work better for everyone. Are you looking for a way to create next-level results with a human-level approach? Then look at opportunities with divvyDOSE, where changing the world is just one result of doing your life’s best work.SM

About the job:

Our data operations team is the pharmacy support system for our customers - we help them transition to divvyDOSE, manage their prescriptions, answer their questions, and coordinate care with their health team. This work is coordinated across pharmacists, technicians, and customer support staff to ensure we provide the best care for our customers. Among other things, we transfer prescriptions to and from other pharmacies, contact medical care providers to understand treatments and request prescription refills and answer inbound questions from our customers.



Your goal is to help the operation run more effectively and efficiently through data analysis, reporting, dash-boarding, and special projects. You will help us build context through better reporting and drive the business forward by providing data-driven recommendations on ways to improve efficiency and optimize our operation. On any given day you might be presenting to our executive team, doing a deep dive on call analytics, or working with a small team to prototype and test new processes.
Data Analyst

Full-time

Exempt



In addition to competitive salary and a unique opportunity to thrive at a growing company, divvyDOSE offers various formal benefits as well.



Full-time employees receive Sick days, Vacation days, and Holiday Bonuses as well as employer-paid Medical (including a Health Savings Account with an employer contribution), Dental, Vision, and Life insurance. In addition, we're proud to offer Voluntary Life & AD&D, Short Term Disability, and Long Term Disability coverage. A 401k plan with employer contribution is available, too.



In our company description, you can tell the divvyTEAM likes to have fun. Regular potlucks, company events, pizza days, wellness challenges, and divvyNEWS You Can Use updates maintain our work-hard play-hard culture.",4.0,"divvyDOSE
4.0","Moline, IL",201 to 500 Employees,2015,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,0,0,33,59,46.0,divvyDOSE,IL,5,0,0,0,0,0,analyst,na,3133
17,Scientist II,$83K - $166K (Glassdoor est.),"Do you want to join a team where the mission is meaningful, the challenges are complex, and you can directly see the results of your hard work? Lundbeck Seattle BioPharmaceuticals (Lu-SBP), located in Bothell, Washington, is the Process Development Center of Excellence for Biologics within the global Lundbeck CMC organization. Since integrating into Lundbeck in October 2019, Lu-SBP has supported commercial launch of Lundbeck’s first biologic product (Vyepti) and advancement of a growing biologics pipeline in collaboration with our Copenhagen-based Late-Stage Development and Production groups. The Lu-SBP team leads and supports the development of new product candidates from cell line development through commercial validation of Drug Substance and Drug Product manufacturing processes. Join us on our journey of progress & innovation dedicated to addressing the vast unmet medical needs associated with brain disease!
SUMMARY:
Ensure drug product processes are robust, scalable, well-characterized, and economical for pipeline molecules. The role is primarily lab-based and will interact with internal product development groups and may interact with Lundbeck’s external CMOs/contract labs. Primary responsibilities include supporting clinical and commercial manufacturing, designing, overseeing and conducting laboratory experiments supporting process development, technology transfer, deviation closure, data analysis and trending utilizing statistics, and authoring reports supporting process validation for drug product.",3.8,"Lundbeck
3.8","Bothell, WA",5001 to 10000 Employees,1915,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$2 to $5 billion (USD),0,0,83,166,124.5,Lundbeck,WA,105,0,0,0,0,1,na,na,1532
18,Data Visualization Scientist,$79K - $136K (Glassdoor est.),"Are you passionate about using data visualizations for understanding and solving complex and interesting problems?Have you worked with cutting-edge visualization frameworks to make data science/analytics findings relevant for technical and non-technical users?Do you value working in a creative and collaborative environment?If so, we are looking for someone like you to join our team!The Large-Scale Analytics Group (QAS) develops end-to-end systems that incorporate descriptive, predictive, and prescriptive analytics on different platforms. We utilize visual analytics to find information hidden deep within large and complex data sets. In QAS, we use visualizations to: Represent data and help our U.S. government partners easily understand their data.
Uncover trends, changes, patterns, and anomalies in voluminous data sets.
Embed in reports and presentations that are used to clearly communicate our data stories and analytic results.
We are seeking data scientists who can apply data visualization standards, research new data visualization approaches, and employ various data visualization technologies and techniques. Your contributions to our team of data scientists, engineers, mathematicians, and computer scientists will help transform data into the knowledge that will enable decision-makers to make informed choices in defense of the nation. You will join a hardworking team in an inclusive environment that values intellectual curiosity, innovation and creativity.As a Data Visualization Scientist you will...


Why work at APL?The Johns Hopkins University Applied Physics Laboratory (APL) brings world-class expertise to our nation's most critical defense, security, space and science challenges. While we are dedicated to solving complex challenges and pioneering new technologies, what makes us truly outstanding is our culture. We offer a vibrant, welcoming atmosphere where you can bring your authentic self to work, continue to grow, and build strong connections with inspiring teammates.At APL, we celebrate our differences and encourage creativity and bold, new ideas. Our employees enjoy generous benefits, including a robust education assistance program, unparalleled retirement contributions, and a healthy work/life balance. APL's campus is located in the Baltimore-Washington metro area. Learn more about our career opportunities at www.jhuapl.edu/careers.",4.7,"Johns Hopkins Applied Physics Laboratory (APL)
4.7","Laurel, MD",5001 to 10000 Employees,1942,Nonprofit Organization,Aerospace & Defense,Aerospace & Defense,$1 to $2 billion (USD),0,0,79,136,107.5,Johns Hopkins Applied Physics Laboratory (APL),MD,78,0,0,0,0,0,na,na,2386
19,Lead Data Scientist,$78K - $126K (Glassdoor est.),"Secure our Nation, Ignite your Future
Become an integral part of a diverse team while working at an Industry Leading Organization, where our employees come first. At ManTech International Corporation, you’ll help protect our national security while working on innovative projects that offer opportunities for advancement. ManTech is seeking a motivated, career and customer-oriented data science and machine learning professionals to join our dynamic modeling team in Portsmouth, VA.
The Navy and Marine Corps Public Health Center (NMCPHC) is the Navy and Marine Corps center for public health (PH) services to maximize readiness through force health protection (FHP) strategies and solutions for current and potential PH threats. NMCPHC provides leadership and expertise to ensure mission readiness in support of the National Military Strategy.",4.3,"ManTech International Corporation
4.3","Portsmouth, VA",5001 to 10000 Employees,1968,Company - Public,Research & Development,Business Services,$1 to $2 billion (USD),0,0,78,126,102.0,ManTech International Corporation,VA,52,0,0,0,0,0,data scientist,senior,845
20,GC Scientist,$44K - $100K (Glassdoor est.),"LGC's CMC Analytical Services department provides characterization and analytical services to the NAT GMP group, an oligonucleotide therapeutic lab. We are looking for an enthusiastic and hard-working candidate to join our team of scientists to support the intake and release of raw materials used in manufacture and API release testing according to ICH Q3C. We have an extensive, ever-evolving client base and impressive technical capabilities with state-of-the-art equipment in a GMP facility. As our inventory expands our need for organization increases, leading to establishing a permanent position focused on sample preparation and chromatographic analysis for Raw Materials, API and Drug Product samples.
The GC Scientist brings a senior level of experience and is open to both learning more and sharing knowledge with others. Responsible for setting up instrument sequences, monitoring analysis and data and performing instrument troubleshooting, maintenance and reporting of results for on-time delivery to internal and external stakeholders. Oversees method development and improvements while driving continuous improvement via analytical development. Maintains appropriate quality control processes and procedures to determine accuracy and precision of analysis. Familiar with GMP guidelines 21 CFR Part 210/211 and ICHQ7. Performs work under the supervision of the CMC Management, but relies on experience to organize day-day work, priorities while supporting fast-turnaround investigations.",3.5,"LGC Limited
3.5","Petaluma, CA",1001 to 5000 Employees,1842,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,0,0,44,100,72.0,LGC Limited,CA,178,0,0,0,0,0,na,na,1502
21,Senior Data Scientist (Machine Learning),$79K - $128K (Glassdoor est.),"Secure our Nation, Ignite your Future
Become an integral part of a diverse team while working at an Industry Leading Organization, where our employees come first. At ManTech International Corporation, you’ll help protect our national security while working on innovative projects that offer opportunities for advancement. ManTech is seeking a motivated, career and customer-oriented Senior Data Scientist to join our Dynamic Modelling team in Portsmouth, VA.
The Navy and Marine Corps Public Health Center (NMCPHC) is the Navy and Marine Corps center for public health (PH) services to maximize readiness through force health protection (FHP) strategies and solutions for current and potential PH threats. NMCPHC provides leadership and expertise to ensure mission readiness in support of the National Military Strategy.",4.3,"ManTech International Corporation
4.3","Portsmouth, VA",5001 to 10000 Employees,1968,Company - Public,Research & Development,Business Services,$1 to $2 billion (USD),0,0,79,128,103.5,ManTech International Corporation,VA,52,0,0,0,0,0,data scientist,senior,820
22,Health Data Analyst,$48K - $84K (Glassdoor est.),"Wednesday, March 3, 2021

JOB SUMMARY:

Extract and analyze health care data for specific studies and corporate initiatives, assisting with data intensive projects. Serve as a technical resource to department staff and management. Work with management of operational areas to assist them in accumulating data to meet their needs. Provide advice to management regarding effective techniques to analyze and report on data to display the most effective result.

ESSENTIAL JOB FUNCTIONS:
Perform routine to moderately complex analysis and design for various business applications.",3.6,"Blue Cross & Blue Shield of Rhode Island
3.6","Providence, RI",501 to 1000 Employees,1939,Nonprofit Organization,Insurance Carriers,Insurance,Unknown / Non-Applicable,0,0,48,84,66.0,Blue Cross & Blue Shield of Rhode Island,RI,81,0,0,0,0,0,analyst,na,576
23,Senior Data Scientist,$60K - $104K (Glassdoor est.),"Job Description:
At Fidelity’s Artificial Intelligence Center of Excellence (COE), you won’t be just tinkering around the edges, you’ll be building critical solutions that will benefit our clients for years to come. We work closely with business stakeholders, collect requirements and deliver high value AI/ML solutions that drive customer and business value. Those of us who love to work with data see this as the pinnacle of opportunities that you cannot find anywhere else in the industry.
The AI COE is seeking a Senior Data Scientist with experience in Virtual Assistants or chatbots, Natural Language Processing/text analytics, machine learning, various deep learning related technologies, predictive and prescriptive analytics.
The Expertise You Have",4.2,"Fidelity Investments
4.2","Boston, MA",10000+ Employees,1946,Company - Private,Investment Banking & Asset Management,Finance,$10+ billion (USD),0,0,60,104,82.0,Fidelity Investments,MA,74,0,0,0,0,1,data scientist,senior,757
